Employee ID,Gender,Tenure,Department,Job Role,Absenteeism Records,Health Survey Responses,Wellness Program Participation
1,Non-Binary,32,Sales,Manager,8,7,False
2,Male,16,Engineering,Executive,9,4,False
3,Non-Binary,18,Sales,Developer,3,8,True
4,Non-Binary,5,Sales,Analyst,18,2,False
5,Male,36,HR,Manager,1,7,True
6,Male,30,Marketing,Coordinator,14,1,True
7,Non-Binary,19,Sales,Developer,5,8,True
8,Female,23,Sales,Coordinator,8,6,False
9,Non-Binary,34,Engineering,Developer,13,5,False
10,Non-Binary,13,Engineering,Manager,1,9,False
11,Non-Binary,29,Engineering,Developer,0,9,True
12,Non-Binary,36,Finance,Developer,16,3,False
13,Male,22,Sales,Manager,0,9,False
14,Non-Binary,36,Engineering,Coordinator,0,9,True
15,Female,9,HR,Coordinator,17,2,False
16,Male,39,Finance,Executive,11,5,False
17,Female,19,Marketing,Coordinator,13,2,True
18,Female,38,Sales,Coordinator,18,1,False
19,Female,6,Sales,Developer,5,7,False
20,Female,15,HR,Executive,8,4,False
21,Male,20,Marketing,Manager,9,5,False
22,Male,9,Marketing,Manager,8,4,False
23,Female,32,Finance,Analyst,6,6,False
24,Female,4,Sales,Executive,11,2,True
25,Male,18,Engineering,Developer,4,8,True
26,Male,5,HR,Analyst,10,4,True
27,Male,20,HR,Analyst,7,8,False
28,Non-Binary,23,HR,Manager,10,3,True
29,Non-Binary,11,HR,Coordinator,9,5,True
30,Non-Binary,37,Engineering,Developer,9,3,True
31,Female,22,Engineering,Executive,4,7,False
32,Non-Binary,4,Finance,Analyst,11,3,True
33,Female,29,Sales,Developer,7,8,False
34,Female,34,Engineering,Manager,1,9,True
35,Non-Binary,13,Finance,Analyst,13,2,True
36,Female,9,Marketing,Analyst,14,3,True
37,Non-Binary,31,Sales,Manager,6,7,True
38,Non-Binary,7,Engineering,Manager,9,5,False
39,Male,4,Marketing,Manager,0,10,True
40,Non-Binary,19,Finance,Developer,4,7,True
41,Male,30,Engineering,Developer,19,2,True
42,Non-Binary,31,Engineering,Developer,14,4,False
43,Non-Binary,35,Marketing,Coordinator,16,1,True
44,Male,21,Engineering,Analyst,9,5,True
45,Male,31,HR,Developer,5,8,False
46,Non-Binary,19,Engineering,Coordinator,18,1,False
47,Female,31,Sales,Analyst,5,7,True
48,Male,32,Marketing,Developer,2,7,True
49,Female,2,Sales,Manager,3,7,True
50,Female,10,Finance,Executive,18,1,True
51,Female,2,Sales,Developer,14,3,False
52,Male,2,HR,Executive,12,2,True
53,Female,24,HR,Developer,7,5,True
54,Male,17,Sales,Manager,12,2,True
55,Female,32,Finance,Executive,11,5,False
56,Non-Binary,16,Engineering,Coordinator,8,5,False
57,Non-Binary,16,HR,Manager,11,4,True
58,Male,39,Sales,Executive,4,7,False
59,Non-Binary,31,Sales,Executive,2,10,True
60,Non-Binary,24,Sales,Manager,8,6,True
61,Female,1,Engineering,Manager,17,2,False
62,Male,11,Marketing,Manager,13,4,False
