Employee ID,Hours Worked,Sick Leave Taken,Project Deadlines Met,Performance Scores
1,32,8,0.76,4.2
2,36,9,0.73,4.1
3,48,3,0.91,4.7
4,41,18,0.5,3.2
5,39,1,0.97,4.9
6,34,14,0.58,3.5999999999999996
7,31,5,0.85,4.5
8,32,8,0.76,4.2
9,43,13,0.61,3.7
10,44,1,0.97,4.9
11,49,0,1.0,5.0
12,42,16,0.52,3.4
13,46,0,1.0,5.0
14,49,0,1.0,5.0
15,33,17,0.5,3.3
16,48,11,0.67,3.9
17,44,13,0.61,3.7
18,44,18,0.5,3.2
19,38,5,0.85,4.5
20,32,8,0.76,4.2
21,31,9,0.73,4.1
22,36,8,0.76,4.2
23,38,6,0.82,4.4
24,34,11,0.67,3.9
25,46,4,0.88,4.6
26,32,10,0.7,4.0
27,38,7,0.79,4.3
28,37,10,0.7,4.0
29,38,9,0.73,4.1
30,46,9,0.73,4.1
31,37,4,0.88,4.6
32,43,11,0.67,3.9
33,45,7,0.79,4.3
34,47,1,0.97,4.9
35,46,13,0.61,3.7
36,36,14,0.58,3.5999999999999996
37,49,6,0.82,4.4
38,44,9,0.73,4.1
39,36,0,1.0,5.0
40,31,4,0.88,4.6
41,31,19,0.5,3.0999999999999996
42,36,14,0.58,3.5999999999999996
43,48,16,0.52,3.4
44,35,9,0.73,4.1
45,41,5,0.85,4.5
46,44,18,0.5,3.2
47,42,5,0.85,4.5
48,36,2,0.94,4.8
49,36,3,0.91,4.7
50,44,18,0.5,3.2
51,33,14,0.58,3.5999999999999996
52,32,12,0.64,3.8
53,30,7,0.79,4.3
54,36,12,0.64,3.8
55,38,11,0.67,3.9
56,30,8,0.76,4.2
57,34,11,0.67,3.9
58,44,4,0.88,4.6
59,33,2,0.94,4.8
60,39,8,0.76,4.2
61,31,17,0.5,3.3
62,36,13,0.61,3.7
63,48,5,0.85,4.5
64,35,3,0.91,4.7
65,44,1,0.97,4.9
66,49,15,0.55,3.5
67,41,17,0.5,3.3
68,40,2,0.94,4.8
69,32,3,0.91,4.7
70,49,5,0.85,4.5
71,46,4,0.88,4.6
72,36,0,1.0,5.0
73,47,9,0.73,4.1
74,46,0,1.0,5.0
75,45,9,0.73,4.1
76,31,5,0.85,4.5
77,34,15,0.55,3.5
78,42,18,0.5,3.2
79,40,11,0.67,3.9
80,30,0,1.0,5.0
81,32,0,1.0,5.0
82,47,2,0.94,4.8
83,33,0,1.0,5.0
84,38,0,1.0,5.0
85,40,3,0.91,4.7
86,46,4,0.88,4.6
87,40,18,0.5,3.2
88,32,10,0.7,4.0
89,48,13,0.61,3.7
90,49,13,0.61,3.7
91,40,5,0.85,4.5
92,43,9,0.73,4.1
93,35,17,0.5,3.3
94,48,4,0.88,4.6
95,44,15,0.55,3.5
96,40,5,0.85,4.5
97,47,14,0.58,3.5999999999999996
98,33,12,0.64,3.8
99,48,12,0.64,3.8
100,32,13,0.61,3.7
101,41,10,0.7,4.0
102,33,11,0.67,3.9
103,41,4,0.88,4.6
104,30,10,0.7,4.0
105,45,0,1.0,5.0
106,31,10,0.7,4.0
107,32,18,0.5,3.2
108,45,15,0.55,3.5
109,39,2,0.94,4.8
110,38,19,0.5,3.0999999999999996
111,43,14,0.58,3.5999999999999996
112,37,1,0.97,4.9
113,31,12,0.64,3.8
114,40,12,0.64,3.8
115,31,17,0.5,3.3
116,44,12,0.64,3.8
117,47,9,0.73,4.1
118,34,0,1.0,5.0
119,36,15,0.55,3.5
120,48,16,0.52,3.4
121,48,5,0.85,4.5
122,45,10,0.7,4.0
123,48,7,0.79,4.3
124,46,7,0.79,4.3
125,42,2,0.94,4.8
126,37,6,0.82,4.4
127,40,19,0.5,3.0999999999999996
128,47,15,0.55,3.5
129,40,13,0.61,3.7
130,38,4,0.88,4.6
131,43,8,0.76,4.2
132,31,12,0.64,3.8
133,46,10,0.7,4.0
134,45,10,0.7,4.0
135,34,7,0.79,4.3
136,30,16,0.52,3.4
137,38,2,0.94,4.8
138,32,4,0.88,4.6
139,43,10,0.7,4.0
140,47,12,0.64,3.8
141,41,12,0.64,3.8
142,43,6,0.82,4.4
143,45,4,0.88,4.6
144,34,20,0.5,3.0
145,49,14,0.58,3.5999999999999996
146,49,2,0.94,4.8
147,44,14,0.58,3.5999999999999996
148,38,15,0.55,3.5
149,46,17,0.5,3.3
150,41,0,1.0,5.0
151,42,11,0.67,3.9
152,39,9,0.73,4.1
153,36,15,0.55,3.5
154,36,0,1.0,5.0
155,37,14,0.58,3.5999999999999996
156,44,5,0.85,4.5
157,47,1,0.97,4.9
158,30,1,0.97,4.9
159,39,9,0.73,4.1
160,48,13,0.61,3.7
161,32,15,0.55,3.5
162,36,13,0.61,3.7
163,33,4,0.88,4.6
164,34,18,0.5,3.2
165,35,6,0.82,4.4
166,39,7,0.79,4.3
167,41,9,0.73,4.1
168,43,17,0.5,3.3
169,31,13,0.61,3.7
170,32,10,0.7,4.0
171,30,7,0.79,4.3
172,32,8,0.76,4.2
173,44,0,1.0,5.0
174,45,12,0.64,3.8
175,49,5,0.85,4.5
176,31,3,0.91,4.7
177,49,3,0.91,4.7
178,45,6,0.82,4.4
179,44,14,0.58,3.5999999999999996
180,36,14,0.58,3.5999999999999996
181,34,18,0.5,3.2
182,34,4,0.88,4.6
183,38,2,0.94,4.8
184,43,14,0.58,3.5999999999999996
185,48,8,0.76,4.2
186,47,4,0.88,4.6
187,38,5,0.85,4.5
188,32,2,0.94,4.8
189,40,12,0.64,3.8
190,44,13,0.61,3.7
191,33,14,0.58,3.5999999999999996
192,34,12,0.64,3.8
193,47,18,0.5,3.2
194,41,10,0.7,4.0
195,30,7,0.79,4.3
196,49,9,0.73,4.1
197,31,8,0.76,4.2
198,38,8,0.76,4.2
199,47,2,0.94,4.8
200,34,12,0.64,3.8
201,43,16,0.52,3.4
202,40,14,0.58,3.5999999999999996
203,32,10,0.7,4.0
204,38,7,0.79,4.3
205,31,18,0.5,3.2
206,43,16,0.52,3.4
207,31,9,0.73,4.1
208,39,0,1.0,5.0
209,48,15,0.55,3.5
210,31,15,0.55,3.5
211,45,10,0.7,4.0
212,35,3,0.91,4.7
213,41,4,0.88,4.6
214,36,9,0.73,4.1
215,33,17,0.5,3.3
216,37,3,0.91,4.7
217,48,5,0.85,4.5
218,39,15,0.55,3.5
219,30,18,0.5,3.2
220,34,14,0.58,3.5999999999999996
221,35,5,0.85,4.5
222,48,10,0.7,4.0
223,47,12,0.64,3.8
224,48,4,0.88,4.6
225,48,5,0.85,4.5
226,30,17,0.5,3.3
227,49,3,0.91,4.7
228,40,13,0.61,3.7
229,32,1,0.97,4.9
230,39,10,0.7,4.0
231,36,1,0.97,4.9
232,46,16,0.52,3.4
233,45,13,0.61,3.7
234,36,5,0.85,4.5
235,42,10,0.7,4.0
236,41,17,0.5,3.3
237,41,4,0.88,4.6
238,37,7,0.79,4.3
239,37,1,0.97,4.9
240,42,6,0.82,4.4
241,40,9,0.73,4.1
242,30,16,0.52,3.4
243,46,13,0.61,3.7
244,48,20,0.5,3.0
245,42,1,0.97,4.9
246,44,9,0.73,4.1
247,41,10,0.7,4.0
248,46,9,0.73,4.1
249,32,1,0.97,4.9
250,36,5,0.85,4.5
251,31,14,0.58,3.5999999999999996
252,31,9,0.73,4.1
253,35,14,0.58,3.5999999999999996
254,33,8,0.76,4.2
255,45,9,0.73,4.1
256,44,14,0.58,3.5999999999999996
257,39,3,0.91,4.7
258,43,0,1.0,5.0
259,38,0,1.0,5.0
260,44,4,0.88,4.6
261,36,15,0.55,3.5
262,36,10,0.7,4.0
263,37,16,0.52,3.4
264,48,11,0.67,3.9
265,47,18,0.5,3.2
266,46,3,0.91,4.7
267,47,13,0.61,3.7
268,48,6,0.82,4.4
269,37,11,0.67,3.9
270,42,0,1.0,5.0
271,40,12,0.64,3.8
272,48,2,0.94,4.8
273,36,13,0.61,3.7
274,34,2,0.94,4.8
275,34,14,0.58,3.5999999999999996
276,37,15,0.55,3.5
277,39,15,0.55,3.5
278,34,0,1.0,5.0
279,44,4,0.88,4.6
280,45,16,0.52,3.4
281,39,3,0.91,4.7
282,37,0,1.0,5.0
283,48,3,0.91,4.7
284,33,6,0.82,4.4
285,43,2,0.94,4.8
286,37,11,0.67,3.9
287,43,8,0.76,4.2
288,41,2,0.94,4.8
289,30,6,0.82,4.4
290,48,8,0.76,4.2
291,47,16,0.52,3.4
292,41,11,0.67,3.9
293,39,0,1.0,5.0
294,30,16,0.52,3.4
295,43,7,0.79,4.3
296,38,7,0.79,4.3
297,44,3,0.91,4.7
298,43,9,0.73,4.1
299,38,5,0.85,4.5
300,40,0,1.0,5.0
301,34,10,0.7,4.0
302,41,6,0.82,4.4
303,45,0,1.0,5.0
304,49,0,1.0,5.0
305,32,15,0.55,3.5
306,34,4,0.88,4.6
307,48,16,0.52,3.4
308,34,11,0.67,3.9
309,47,18,0.5,3.2
310,33,12,0.64,3.8
311,44,4,0.88,4.6
312,34,2,0.94,4.8
313,37,4,0.88,4.6
314,45,1,0.97,4.9
315,30,16,0.52,3.4
316,34,2,0.94,4.8
317,47,16,0.52,3.4
318,45,2,0.94,4.8
319,39,11,0.67,3.9
320,33,13,0.61,3.7
321,47,3,0.91,4.7
322,46,12,0.64,3.8
323,42,10,0.7,4.0
324,37,17,0.5,3.3
325,37,16,0.52,3.4
326,41,4,0.88,4.6
327,47,0,1.0,5.0
328,35,1,0.97,4.9
329,36,3,0.91,4.7
330,46,8,0.76,4.2
331,34,0,1.0,5.0
332,48,19,0.5,3.0999999999999996
333,37,14,0.58,3.5999999999999996
334,48,10,0.7,4.0
335,37,7,0.79,4.3
336,48,13,0.61,3.7
337,36,13,0.61,3.7
338,32,0,1.0,5.0
339,35,2,0.94,4.8
340,37,5,0.85,4.5
341,47,20,0.5,3.0
342,44,3,0.91,4.7
343,46,9,0.73,4.1
344,33,16,0.52,3.4
345,36,7,0.79,4.3
346,46,13,0.61,3.7
347,35,13,0.61,3.7
348,42,9,0.73,4.1
349,36,14,0.58,3.5999999999999996
350,38,6,0.82,4.4
351,48,7,0.79,4.3
352,49,9,0.73,4.1
353,42,17,0.5,3.3
354,44,9,0.73,4.1
355,46,0,1.0,5.0
356,34,4,0.88,4.6
357,48,6,0.82,4.4
358,35,15,0.55,3.5
359,41,10,0.7,4.0
360,44,0,1.0,5.0
361,44,17,0.5,3.3
362,32,6,0.82,4.4
363,33,16,0.52,3.4
364,34,3,0.91,4.7
365,35,5,0.85,4.5
366,35,2,0.94,4.8
367,46,14,0.58,3.5999999999999996
368,37,14,0.58,3.5999999999999996
369,48,8,0.76,4.2
370,49,10,0.7,4.0
371,42,10,0.7,4.0
372,44,1,0.97,4.9
373,46,9,0.73,4.1
374,46,13,0.61,3.7
375,31,12,0.64,3.8
376,32,17,0.5,3.3
377,38,10,0.7,4.0
378,35,14,0.58,3.5999999999999996
379,30,11,0.67,3.9
380,48,4,0.88,4.6
381,33,3,0.91,4.7
382,42,15,0.55,3.5
383,49,7,0.79,4.3
384,37,0,1.0,5.0
385,34,6,0.82,4.4
386,39,4,0.88,4.6
387,49,14,0.58,3.5999999999999996
388,48,9,0.73,4.1
389,41,4,0.88,4.6
390,30,0,1.0,5.0
391,38,6,0.82,4.4
392,45,0,1.0,5.0
393,46,7,0.79,4.3
394,47,0,1.0,5.0
395,43,0,1.0,5.0
396,46,4,0.88,4.6
397,30,0,1.0,5.0
398,44,0,1.0,5.0
399,48,3,0.91,4.7
400,31,15,0.55,3.5
401,43,16,0.52,3.4
402,31,12,0.64,3.8
403,44,17,0.5,3.3
404,30,12,0.64,3.8
405,30,0,1.0,5.0
406,41,3,0.91,4.7
407,44,15,0.55,3.5
408,47,17,0.5,3.3
409,44,19,0.5,3.0999999999999996
410,36,2,0.94,4.8
411,41,0,1.0,5.0
412,39,13,0.61,3.7
413,31,0,1.0,5.0
414,31,9,0.73,4.1
415,35,0,1.0,5.0
416,49,10,0.7,4.0
417,35,4,0.88,4.6
418,39,0,1.0,5.0
419,32,7,0.79,4.3
420,45,17,0.5,3.3
421,34,8,0.76,4.2
422,34,9,0.73,4.1
423,39,9,0.73,4.1
424,42,18,0.5,3.2
425,32,2,0.94,4.8
426,47,11,0.67,3.9
427,48,0,1.0,5.0
428,35,5,0.85,4.5
429,49,1,0.97,4.9
430,30,9,0.73,4.1
431,39,17,0.5,3.3
432,39,3,0.91,4.7
433,30,0,1.0,5.0
434,48,6,0.82,4.4
435,40,0,1.0,5.0
436,42,11,0.67,3.9
437,46,4,0.88,4.6
438,49,0,1.0,5.0
439,47,12,0.64,3.8
440,33,1,0.97,4.9
441,44,15,0.55,3.5
442,31,8,0.76,4.2
443,35,8,0.76,4.2
444,38,0,1.0,5.0
445,40,8,0.76,4.2
446,49,6,0.82,4.4
447,45,4,0.88,4.6
448,37,16,0.52,3.4
449,46,17,0.5,3.3
450,33,4,0.88,4.6
451,36,5,0.85,4.5
452,40,4,0.88,4.6
453,40,12,0.64,3.8
454,40,13,0.61,3.7
455,44,11,0.67,3.9
456,34,12,0.64,3.8
457,35,14,0.58,3.5999999999999996
458,34,13,0.61,3.7
459,38,9,0.73,4.1
460,40,1,0.97,4.9
461,32,9,0.73,4.1
462,49,4,0.88,4.6
463,33,17,0.5,3.3
464,44,10,0.7,4.0
465,47,13,0.61,3.7
